chrom	start	end	strand	total_mapped_reads	unique_mapped_reads	shared_reads	feature	class	annotation_group
chr9	127454758	127454784	+	3	0	3	MIR181A2(miRNA),hsa-miR-181a-5p(hg19_miRNA)	A	SM-ONLY
chrGL000220.1	115716	115803	+	3	0	3	RNA28S5(rRNA)	A	SM-ONLY
chrGL000220.1	159688	159775	+	3	0	3	NA	U	Novel
chrGL000220.1	116955	117000	+	2	0	2	RNA28S5(rRNA)	A	SM-ONLY
chrGL000220.1	160927	160972	+	2	0	2	NA	L	Novel
chr11	93454708	93454738	+	2	0	2	mgU2-19/30(hg19_snoRna),SCARNA9(antisense)	A	SM-LN
chrX	20154472	20154502	-	2	0	2	snoU2_19(snoRNA)	A	SM-ONLY
chr1	65524121	65524146	-	2	0	2	MIR101-1(miRNA),hsa-miR-101-3p(hg19_miRNA)	A	SM-ONLY
chr9	4850343	4850368	+	2	0	2	hsa-miR-101-3p(hg19_miRNA),MIR101-2(miRNA)	A	SM-ONLY
chr11	122022981	122023004	-	2	0	2	MIR100(miRNA),hsa-miR-100-5p(hg19_miRNA)	A	SM-ONLY
chr21	17911420	17911443	+	2	0	2	hsa-miR-99a-5p(hg19_miRNA),MIR99A(miRNA)	A	SM-ONLY
chr5	93905167	93905240	-	2	0	2	MTND6P3(pseudogene),FR043670(hg19_F_piRNA)	A	SM-PS
chrMT	14669	14742	-	2	0	2	MT-ND6(protein_coding),MT-TE(Mt_tRNA)	A	SM-PC
chr17	16343348	16343421	+	2388	2388	0	U49A(hg19_snoRna),FAM211A-AS1(processed_transcript)	A	SM-LN
chr11	62621128	62621205	-	1486	1486	0	SNHG1(processed_transcript),U30(hg19_snoRna)	A	SM-LN
chr6	86387000	86387086	-	1051	1051	0	U50(hg19_snoRna),SNHG5(processed_transcript)	A	SM-LN
chr6	133136445	133136519	+	842	842	0	SNORD101(snoRNA),U101(hg19_snoRna)	A	SM-ONLY
chr1	173835100	173835166	-	815	815	0	GAS5(processed_transcript),U44(hg19_snoRna)	A	SM-LN
chr3	186502586	186502650	+	813	813	0	SNORD2(snoRNA),EIF4A2(protein_coding),snR39B(hg19_snoRna)	A	SM-PC
chr12	57037461	57037533	-	775	775	0	U59B(hg19_snoRna)	A	SM-ONLY
chr5	137896721	137896799	-	684	684	0	SNORD63(snoRNA),FR380286(hg19_F_piRNA),U63(hg19_snoRna)	A	SM-ONLY
chr11	62622761	62622838	-	669	669	0	SNHG1(processed_transcript),U26(hg19_snoRna)	A	SM-LN
chr15	66795576	66795651	-	600	600	0	RPL4(protein_coding),SNORD18A(snoRNA),U18A(hg19_snoRna)	A	SM-PC
chr22	39715043	39715117	-	585	585	0	ENST00000453303(hg19_ensGene),U43(hg19_snoRna),SNORD43(snoRNA),FR218523(hg19_F_piRNA),RPL3(protein_coding)	A	SM-PC
chr1	173836813	173836882	-	497	497	0	GAS5(processed_transcript),U74(hg19_snoRna)	A	SM-LN
chr1	45242163	45242265	+	343	343	0	SNORD46(snoRNA),U46(hg19_snoRna)	A	SM-ONLY
chr18	47017644	47017717	-	322	322	0	U58A(hg19_snoRna),SNORD58A(snoRNA),FR132879(hg19_F_piRNA),RPL17(protein_coding),FR319972(hg19_F_piRNA)	A	SM-PC
chr17	62223440	62223513	+	305	305	0	U104(hg19_snoRna),SNORD104(snoRNA)	A	SM-ONLY
chr20	47897224	47897303	+	245	245	0	SNORD12(snoRNA),HBII-99(hg19_snoRna)	A	SM-ONLY
chr3	52726758	52726821	+	242	242	0	SNORD69(snoRNA),HBII-210(hg19_snoRna)	A	SM-ONLY
chr11	62622481	62622555	-	228	228	0	SNHG1(processed_transcript),U27(hg19_snoRna)	A	SM-LN
chr11	62623029	62623103	-	223	223	0	SNHG1(processed_transcript),FR407753(hg19_F_misc),U25(hg19_snoRna)	A	SM-LN
chr13	27829200	27829289	+	204	204	0	U102(hg19_snoRna),SNORD102(snoRNA),RPL21(protein_coding)	A	SM-PC
chr16	89627835	89627910	+	194	194	0	SNORD68(snoRNA),HBII-202(hg19_snoRna),RPL13(protein_coding),FR341694(hg19_F_piRNA)	A	SM-PC
chr16	2205014	2205106	-	181	181	0	SNORD60(snoRNA),U60(hg19_snoRna)	A	SM-ONLY
chr6	133137942	133138012	+	181	181	0	FR319802(hg19_F_piRNA),HBII-429(hg19_snoRna),SNORD100(snoRNA),FR025321(hg19_F_piRNA)	A	SM-ONLY
chr11	62621377	62621440	-	161	161	0	SNHG1(processed_transcript),U29(hg19_snoRna)	A	SM-LN
chrX	135961349	135961432	-	150	150	0	RBMX(protein_coding),U61(hg19_snoRna),SNORD61(snoRNA)	A	SM-PC
chr18	47018028	47018099	-	140	140	0	ENST00000580210(hg19_ensGene),ENST00000580387(hg19_ensGene),ENST00000418495(hg19_ensGene),ENST00000579408(hg19_ensGene),SNORD58B(snoRNA),FR064000(hg19_F_piRNA),RPL17(protein_coding),U58B(hg19_snoRna)	A	SM-PC
chr11	93466630	93466763	-	131	131	0	TAF1D(protein_coding),ACA18(hg19_snoRna),SNORA18(snoRNA)	A	SM-PC
chr11	62620799	62620864	-	116	116	0	SNHG1(processed_transcript),U31(hg19_snoRna)	A	SM-LN
chr17	16344536	16344613	+	116	116	0	FAM211A-AS1(processed_transcript),HBII-135(hg19_snoRna)	A	SM-LN
chr6	31803035	31803104	+	115	115	0	U48(hg19_snoRna),ENST00000375633(hg19_ensGene),SNORD48(snoRNA),C6orf48(protein_coding)	A	SM-PC
chr19	51305576	51305672	-	106	106	0	C19orf48(protein_coding),HBII-180C(hg19_snoRna),SNORD88C(snoRNA)	A	SM-PC
chr17	16342817	16342891	+	105	105	0	U49B(hg19_snoRna),FAM211A-AS1(processed_transcript)	A	SM-LN
chr2	232325055	232325148	-	101	101	0	SNORD82(snoRNA),U82(hg19_snoRna),FR075316(hg19_F_piRNA)	A	SM-ONLY
chr6	31804851	31804919	+	98	98	0	ENST00000395788(hg19_ensGene),U52(hg19_snoRna),SNORD52(snoRNA),C6orf48(protein_coding)	A	SM-PC
chr17	27047568	27047632	+	98	98	0	FR016773(hg19_F_piRNA),SNORD42B(snoRNA),ENST00000472628(hg19_ensGene),RPL23A(protein_coding),U42B(hg19_snoRna)	A	SM-PC
chr12	49048163	49048302	-	95	95	0	ACA34(hg19_snoRna),hsa-miR-1291(hg19_miRNA),SNORA34(snoRNA)	A	SM-ONLY
chr8	67834705	67834786	-	95	95	0	SNORD87(sense_overlapping),SNHG6(processed_transcript),HBII-276(hg19_snoRna)	A	SM-LN
chr11	93464669	93464738	-	93	93	0	SNORD6(snoRNA),mgh28S-2411(hg19_snoRna),FR290353(hg19_F_piRNA),FR190827(hg19_F_piRNA)	A	SM-ONLY
chr14	45580088	45580168	+	91	91	0	FR407669(hg19_F_misc),SNORD127(snoRNA),SNORD127(hg19_snoRna)	A	SM-ONLY
chr1	76253572	76253656	+	88	88	0	U45A(hg19_snoRna),RABGGTB(protein_coding),SNORD45A(snoRNA)	A	SM-PC
chr12	57038809	57038884	-	86	86	0	U59A(hg19_snoRna),SNORD59A(snoRNA)	A	SM-ONLY
chr20	47896860	47896940	+	85	85	0	HBII-99B(hg19_snoRna),FR407497(hg19_F_misc),SNORD12B(snoRNA)	A	SM-ONLY
chr3	52725393	52725458	+	81	81	0	SNORD19(snoRNA)	A	SM-ONLY
chr1	173833961	173834043	-	78	78	0	GAS5(processed_transcript),U80(hg19_snoRna)	A	SM-LN
chr1	93302845	93302940	+	77	77	0	SNORD21(snoRNA),RPL5(protein_coding),U21(hg19_snoRna)	A	SM-PC
chr20	2634856	2634934	+	69	69	0	SNORD110(snoRNA),HBII-55(hg19_snoRna),NOP56(protein_coding)	A	SM-PC
chr11	93466385	93466465	-	62	62	0	TAF1D(protein_coding),mgh28S-2409(hg19_snoRna),SNORD5(snoRNA)	A	SM-PC
chr1	45241535	45241611	+	60	60	0	RPS8(protein_coding),SNORD55(snoRNA),U55(hg19_snoRna)	A	SM-PC
chr1	1102539	1102564	+	51	42	9	MIR200B(miRNA),hsa-miR-200b-3p(hg19_miRNA)	A	SM-ONLY
chr1	173835771	173835851	-	49	49	0	GAS5(processed_transcript),U76(hg19_snoRna)	A	SM-LN
chr12	7072904	7072929	+	47	38	9	MIR200C(miRNA),hsa-miR-200c-3p(hg19_miRNA)	A	SM-ONLY
chr20	47895481	47895559	+	47	47	0	SNORD12C(snoRNA),U106(hg19_snoRna)	A	SM-ONLY
chr1	173833503	173833582	-	44	44	0	GAS5(processed_transcript),U47(hg19_snoRna)	A	SM-LN
chr1	28905262	28905331	-	44	44	0	SNORD99(snoRNA),HBII-420(hg19_snoRna)	A	SM-ONLY
chr18	47015609	47015678	-	44	44	0	FR310293(hg19_F_piRNA),FR407616(hg19_F_misc),U58C(hg19_snoRna),RPL17(protein_coding),SNORD58C(snoRNA)	A	SM-PC
chr17	7480128	7480272	+	43	43	0	SNORD10(snoRNA),mgU6-77(hg19_snoRna),EIF4A1(protein_coding)	A	SM-PC
chr22	39711208	39711309	-	42	42	0	SNORD83A(snoRNA),U83A(hg19_snoRna)	A	SM-ONLY
chr19	12817261	12817330	-	40	40	0	SNORD41(snoRNA),FR302680(hg19_F_piRNA),FR019089(hg19_F_piRNA),U41(hg19_snoRna)	A	SM-ONLY
chr19	3982503	3982570	-	40	40	0	U37(hg19_snoRna),SNORD37(snoRNA),EEF2(protein_coding)	A	SM-PC
chr1	45243513	45243583	+	39	39	0	RPS8(protein_coding),U38A(hg19_snoRna),SNORD38A(snoRNA)	A	SM-PC
chr19	10220437	10220507	+	38	38	0	FR407663(hg19_F_misc),U105B(hg19_snoRna),SNORD105B(snoRNA)	A	SM-ONLY
chr20	2637583	2637657	+	38	38	0	U57(hg19_snoRna),FR270731(hg19_F_piRNA),SNORD57(snoRNA),FR004416(hg19_F_piRNA),NOP56(protein_coding)	A	SM-PC
chr1	28907430	28907565	-	38	38	0	ACA16(hg19_snoRna),SNHG12(antisense)	A	SM-LN
chr1	173834751	173834823	-	37	37	0	SNORD78(snoRNA),U78(hg19_snoRna)	A	SM-ONLY
chr16	70571911	70571997	+	34	34	0	SNORD111(snoRNA),HBII-82(hg19_snoRna)	A	SM-ONLY
chr5	76376256	76376397	-	32	32	0	SNORA47(snoRNA),HBI-115(hg19_snoRna)	A	SM-ONLY
chr19	49993222	49993305	+	31	31	0	RPL13A(protein_coding),U32A(hg19_snoRna),SNORD32A(snoRNA)	A	SM-PC
chr14	20794609	20794682	-	31	31	0	FR407710(hg19_F_misc),SNORD126(hg19_snoRna),SNORD126(snoRNA)	A	SM-ONLY
chr15	66793588	66793655	-	30	30	0	RPL4(protein_coding),U18C(hg19_snoRna),SNORD18C(snoRNA)	A	SM-PC
chr11	122929614	122929703	-	27	27	0	SNORD14D(snoRNA),HSPA8(protein_coding),ENST00000526686(hg19_ensGene)	A	SM-PC
chr17	27050701	27050767	+	27	27	0	ENST00000578181(hg19_ensGene),SNORD4B(snoRNA),Z17B(hg19_snoRna),RPL23A(protein_coding)	A	SM-PC
chr9	97847786	97847809	+	26	26	0	MIR27B(miRNA),hsa-miR-27b-3p(hg19_miRNA)	A	SM-ONLY
chr19	12814410	12814483	-	25	25	0	FR407721(hg19_F_misc)	A	SM-ONLY
chr5	180670309	180670378	-	25	25	0	ENST00000502844(hg19_ensGene),GNB2L1(protein_coding),SNORD95(snoRNA),ENST00000513027(hg19_ensGene),U95(hg19_snoRna)	A	SM-PC
chr3	12881809	12881949	-	24	23	1	ENST00000435983(hg19_ensGene),SNORA7A(snoRNA),ENST00000457131(hg19_ensGene),ACA7(hg19_snoRna),ENST00000396957(hg19_ensGene),ENST00000396953(hg19_ensGene),RPL32(protein_coding)	A	SM-PC
chr11	122930040	122930130	-	23	23	0	ENST00000524552(hg19_ensGene),HSPA8(protein_coding),SNORD14C(snoRNA)	A	SM-PC
chr17	27050447	27050510	+	23	23	0	U42A(hg19_snoRna),SNORD42A(snoRNA),RPL23A(protein_coding)	A	SM-PC
chr15	66795149	66795249	-	22	22	0	U16(hg19_snoRna),RPL4(protein_coding),FR293713(hg19_F_piRNA),SNORD16(snoRNA)	A	SM-PC
chr1	173834419	173834566	-	21	21	0	GAS5(processed_transcript),U79(hg19_snoRna),TCONS_00013744_GAS5(hg19_lincRNAsTranscripts)	A	SM-LN
chr5	180668814	180668890	-	20	20	0	SNORD96A(snoRNA),GNB2L1(protein_coding),U96a(hg19_snoRna)	A	SM-PC
chr7	129410283	129410310	-	19	19	0	FR381169(hg19_F_piRNA),hsa-miR-182-5p(hg19_miRNA),MIR182(miRNA)	A	SM-ONLY
chr3	52722905	52722968	+	18	18	0	GNL3(protein_coding),SNORD19B(snoRNA)	A	SM-PC
chr1	76252755	76252835	+	17	17	0	SNORD45C(snoRNA),U45C(hg19_snoRna),RABGGTB(protein_coding)	A	SM-PC
chr2	29150848	29150927	+	16	16	0	FR407557(hg19_F_misc),SNORD53_SNORD92(snoRNA)	A	SM-ONLY
chr20	2443609	2443681	-	15	15	0	FR407734(hg19_F_misc),SNORD119(hg19_snoRna),SNORD119(snoRNA)	A	SM-ONLY
chr16	71792307	71792385	-	15	15	0	HBII-239(hg19_snoRna),FR255141(hg19_F_piRNA),SNORD71(snoRNA)	A	SM-ONLY
chr20	37055947	37056087	-	14	14	0	U71a(hg19_snoRna),SNORA71A(snoRNA)	A	SM-ONLY
chr16	2012964	2013108	-	13	13	0	SNORA64(snoRNA),RPS2(protein_coding),U64(hg19_snoRna)	A	SM-PC
chr13	92003325	92003350	+	13	13	0	FR129211(hg19_F_misc),MIR17HG(processed_transcript),hsa-miR-20a-5p(hg19_miRNA)	A	SM-LN
chr11	62432891	62433043	+	12	12	0	SNORA57(snoRNA),METTL12(protein_coding),U99(hg19_snoRna)	A	SM-PC
chr15	66794358	66794428	-	12	12	0	RPL4(protein_coding),SNORD18B(snoRNA),U18B(hg19_snoRna)	A	SM-PC
chr22	39709824	39709912	-	11	11	0	FR213383(hg19_F_piRNA),SNORD83B(snoRNA),FR319300(hg19_F_piRNA),FR036067(hg19_F_piRNA),FR237180(hg19_F_piRNA),U83B(hg19_snoRna),RPL3(protein_coding),FR205579(hg19_F_piRNA)	A	SM-PC
chr5	138611866	138612013	+	10	10	0	SNORA74(snoRNA)	A	SM-ONLY
chr1	173836014	173836077	-	10	10	0	U75(hg19_snoRna)	A	SM-ONLY
chr11	8705772	8705904	+	10	10	0	ENST00000530913(hg19_ensGene),FR105027(hg19_F_piRNA),ACA3(hg19_snoRna),RPL27A(protein_coding),SNORA3(snoRNA)	A	SM-PC
chr11	62609093	62609255	-	9	8	1	ENST00000538098(hg19_ensGene),ENST00000525239(hg19_ensGene),ENST00000410396(hg19_snRna),WDR74(protein_coding),RNU2-2P(snRNA)	A	SM-PC
chr19	17973396	17973530	+	9	9	0	RPL18A(protein_coding),SNORA68(snoRNA),U68(hg19_snoRna)	A	SM-PC
chr2	203141160	203141235	+	9	9	0	SNORD70(snoRNA),HBII-234(hg19_snoRna)	A	SM-ONLY
chr6	160201280	160201413	-	9	9	0	ACA20(hg19_snoRna),SNORA20(snoRNA),TCP1(protein_coding)	A	SM-PC
chr3	52724767	52724834	+	9	9	0	GNL3(protein_coding),HBII-108B(hg19_snoRna),SNORD19B(snoRNA),FR407664(hg19_F_misc)	A	SM-PC
chr7	99691435	99691460	-	9	9	0	MIR93(miRNA),hsa-miR-93-5p(hg19_miRNA)	A	SM-ONLY
chr20	2637269	2637342	+	8	8	0	U56(hg19_snoRna),SNORD56(snoRNA),NOP56(protein_coding)	A	SM-PC
chr3	49058104	49058127	-	8	8	0	hsa-miR-191-5p(hg19_miRNA),MIR191(miRNA)	A	SM-ONLY
chr6	86387304	86387376	-	8	8	0	U50B(hg19_snoRna),SNHG5(processed_transcript)	A	SM-LN
chr7	99691192	99691215	-	8	8	0	hsa-miR-25-3p(hg19_miRNA),MIR25(miRNA)	A	SM-ONLY
