chrom	start	end	strand	total_mapped_reads	unique_mapped_reads	shared_reads	feature	annotation_group	best_feature	best_feature_JS
chr2	231460370	231460438	-	1034	1034	0	SNORD82(snoRNA),URS00005160A3_9606(snoRNA),URS0000519855_9606(snoRNA),URS000057BC8B_9606(piRNA),URS0000626A32_9606(snoRNA),URS00006A2AF1_9606(snoRNA),URS000081644F_9606(snoRNA),URS0001BC1386_9606(snoRNA),URS0001BC38A4_9606(snoRNA)	SM-ONLY	URS00006A2AF1_9606	1.0
chr20	49280687	49280767	+	826	826	0	SNORD12(snoRNA),URS00000C1202_9606(lncRNA),URS0000114181_9606(lncRNA),URS00001AEC9F_9606(lncRNA),URS00002172FF_9606(lncRNA),URS000023559A_9606(lncRNA),URS000045E7E2_9606(lncRNA),URS00004B003D_9606(lncRNA),URS00006B5455_9606(snoRNA),URS000078514C_9606(lncRNA),URS00007CF26E_9606(lncRNA),URS00009B1321_9606(lncRNA),URS00009B254D_9606(lncRNA),URS00009B475D_9606(lncRNA),URS0000BC464D_9606(lncRNA),URS0000D57061_9606(lncRNA),URS0000D57BFF_9606(lncRNA),URS0000D581D5_9606(lncRNA),URS0000D58FA8_9606(lncRNA),URS0000D59374_9606(lncRNA),URS0000D59719_9606(lncRNA),URS0000D5A7EC_9606(lncRNA),URS0000D5A915_9606(lncRNA),URS0000D5B6B6_9606(lncRNA),URS0000D5BA6C_9606(lncRNA),URS0000D5C754_9606(lncRNA),URS0000D5D705_9606(lncRNA),URS0000D5DEE0_9606(lncRNA),URS0000D5E35E_9606(lncRNA),URS0000D5E3F5_9606(lncRNA),URS0000E9EF51_9606(lncRNA),URS0000EEBD6C_9606(lncRNA),URS0000EEC5E7_9606(lncRNA),URS0000EF03BE_9606(lncRNA),URS0000EF18F5_9606(lncRNA),URS0000EF220C_9606(lncRNA),URS0001BC25F1_9606(snoRNA),URS0001BD5F9D_9606(lncRNA),URS0001BDCB37_9606(lncRNA),URS0001BE0B73_9606(lncRNA),URS0001BE4A10_9606(lncRNA),URS0001BE5A20_9606(lncRNA),URS0001BE98BC_9606(lncRNA),URS0001BF1393_9606(lncRNA),URS0001BF281D_9606(lncRNA),URS0001D6A50B_9606(lncRNA),ZFAS1(lncRNA)	SM-ONLY	URS00006B5455_9606	0.99
chr1	28578748	28578820	-	714	714	0	SNORD99(snoRNA),URS00000537B8_9606(lncRNA),URS00000862C0_9606(lncRNA),URS00001DF136_9606(lncRNA),URS000025B268_9606(lncRNA),URS000046444E_9606(lncRNA),URS00004670AA_9606(lncRNA),URS000051CB3A_9606(lncRNA),URS0000579998_9606(lncRNA),URS00005A2E0D_9606(lncRNA),URS00005F87D2_9606(lncRNA),URS00006E3D71_9606(snoRNA),URS000075A722_9606(snoRNA),URS00007B872B_9606(lncRNA),URS00008C23DF_9606(lncRNA),URS00009B0AC5_9606(lncRNA),URS00009C35C3_9606(lncRNA),URS0000BC442C_9606(lncRNA),URS0000BC4490_9606(lncRNA),URS0000BC44B4_9606(lncRNA),URS0000BC4513_9606(lncRNA),URS0000BC4546_9606(lncRNA),URS0000BC45AE_9606(lncRNA),URS0000BC4602_9606(lncRNA),URS0000BC465C_9606(lncRNA),URS0000D576A5_9606(lncRNA),URS0000D57843_9606(lncRNA),URS0000D5785C_9606(lncRNA),URS0000D5790B_9606(lncRNA),URS0000D58B67_9606(lncRNA),URS0000D58C32_9606(lncRNA),URS0000D5A5C7_9606(lncRNA),URS0000D5AB09_9606(lncRNA),URS0000D5C130_9606(lncRNA),URS0000D5C2E5_9606(lncRNA),URS0000D5DC2E_9606(lncRNA),URS0000DB8160_9606(lncRNA),URS0000DB820B_9606(lncRNA),URS0000DB9F83_9606(lncRNA),URS0000DBA9ED_9606(lncRNA),URS0000EB008B_9606(lncRNA),URS0001BC7382_9606(snoRNA),URS0001BCB857_9606(lncRNA),URS0001BCEC40_9606(lncRNA),URS0001BCF12F_9606(lncRNA),URS0001BCF1D0_9606(lncRNA),URS0001BD0A0E_9606(lncRNA),URS0001BD254E_9606(lncRNA),URS0001BD2DCF_9606(lncRNA),URS0001BD6117_9606(lncRNA),URS0001BD6402_9606(lncRNA),URS0001BD79E8_9606(lncRNA),URS0001BD89E1_9606(lncRNA),URS0001BD9081_9606(lncRNA),URS0001BDA64E_9606(lncRNA),URS0001BDBDCF_9606(lncRNA),URS0001BDC698_9606(lncRNA),URS0001BE0422_9606(lncRNA),URS0001BE170A_9606(lncRNA),URS0001BE2149_9606(lncRNA),URS0001BE22E7_9606(lncRNA),URS0001BE28D5_9606(lncRNA),URS0001BE57B1_9606(lncRNA),URS0001BE5C45_9606(lncRNA),URS0001BE5FC2_9606(lncRNA),URS0001BE5FEC_9606(lncRNA),URS0001BE7AC8_9606(lncRNA),URS0001BE992B_9606(lncRNA),URS0001BEA783_9606(lncRNA),URS0001BEABB5_9606(lncRNA),URS0001BEAE02_9606(lncRNA),URS0001BEB6F0_9606(lncRNA),URS0001BEBC93_9606(lncRNA),URS0001BECE89_9606(lncRNA),URS0001BEF256_9606(lncRNA),URS0001BF152B_9606(lncRNA),URS0001BF1990_9606(lncRNA),URS0001BF3370_9606(lncRNA),URS0001BF3384_9606(lncRNA),URS0001BF3889_9606(lncRNA),URS0001BF5AF0_9606(lncRNA),URS0001BF6B80_9606(lncRNA),URS0001BF7839_9606(lncRNA),URS0001C3FBB6_9606(lncRNA),URS0001EDAD53_9606(lncRNA),URS0002201A3F_9606(lncRNA),URS000224406D_9606(lncRNA),URS0002244A24_9606(lncRNA),URS0002259073_9606(lncRNA),URS00022678C1_9606(lncRNA),URS0002273A4D_9606(lncRNA),URS0002278130_9606(lncRNA),URS00022AEAD2_9606(lncRNA),URS00022B11C3_9606(lncRNA),URS00022B4A15_9606(lncRNA)	SM-ONLY	URS000075A722_9606	0.96
chr19	10109761	10109834	+	348	348	0	SNORD105B(snoRNA),URS000064B8EB_9606(snoRNA),URS000075DF1C_9606(snoRNA),URS0001BC5C73_9606(snoRNA)	SM-ONLY	URS000064B8EB_9606	0.96
chr20	2462961	2463036	-	341	341	0	URS000075EC44_9606(snoRNA),URS000081F58C_9606(snoRNA)	SM-ONLY	URS000075EC44_9606	0.98
chr3	52692742	52692809	+	289	289	0	SNORD69(snoRNA),URS00006292A1_9606(snoRNA),URS0000EC21A0_9606(lncRNA),URS0001BC5E6C_9606(snoRNA)	SM-ONLY	URS00006292A1_9606	0.96
chr15	66503240	66503314	-	287	287	0	RPL4(protein_coding),SNORD18A(snoRNA),URS00004DF250_9606(snoRNA),URS0000651CAB_9606(snoRNA),URS0000D6E1E8_9606(lncRNA),URS0000D6E75E_9606(lncRNA),URS0001BBF378_9606(snoRNA)	SM-PC	SNORD18A	0.96
chr18	49491658	49491730	-	225	225	0	RPL17(protein_coding),SNORD58B(snoRNA),URS00000C6189_9606(piRNA),URS00004BB247_9606(snoRNA),URS00009AD5E9_9606(lncRNA),URS0000D6D64D_9606(lncRNA),URS0000D6DD28_9606(lncRNA),URS0000D6E4A7_9606(lncRNA),URS0000D6ECE6_9606(lncRNA)	SM-PC	URS00004BB247_9606	0.93
chrX	69672550	69672603	+	205	205	0	5S_rRNA(rRNA_pseudogene),URS0000513774_9606(piRNA),URS00006B32AE_9606(rRNA),URS0001BCDD7F_9606(lncRNA),URS0001BD8038_9606(lncRNA)	SM-ONLY	URS0000513774_9606	0.62
chr17	35151205	35151256	-	204	204	0	URS00003531AD_9606(piRNA),URS000037AA55_9606(piRNA),URS00005CB969_9606(misc_RNA),URS000096B15F_9606(ncRNA),URS0001BD38EB_9606(lncRNA)	SM-ONLY	URS00005CB969_9606	0.65
