chrom	start	end	strand	total_mapped_reads	unique_mapped_reads	shared_reads	feature	class	annotation_group
chr6	31803039	31803091	+	1076	1076	0	SNORD48(snoRNA),U48(hg19_snoRna),ENST00000375633(hg19_ensGene),C6orf48(protein_coding)	A	SM-PC
chr20	47895482	47895533	+	854	854	0	SNORD12C(snoRNA),U106(hg19_snoRna)	A	SM-ONLY
chr2	232325098	232325149	-	724	724	0	U82(hg19_snoRna),SNORD82(snoRNA),FR075316(hg19_F_piRNA)	A	SM-ONLY
chr11	62622786	62622838	-	635	635	0	U26(hg19_snoRna),SNHG1(processed_transcript)	A	SM-LN
chr20	47897224	47897298	+	579	579	0	SNORD12(snoRNA),HBII-99(hg19_snoRna)	A	SM-ONLY
chr2	25467965	25468016	-	536	536	0	NA	U	Novel
chr6	86387035	86387086	-	535	535	0	U50(hg19_snoRna),SNHG5(processed_transcript)	A	SM-LN
chr19	12814431	12814482	-	532	530	2	FR407721(hg19_F_misc)	A	SM-ONLY
chr1	28905280	28905331	-	500	500	0	HBII-420(hg19_snoRna),SNORD99(snoRNA)	A	SM-ONLY
chr1	76253572	76253658	+	485	485	0	RABGGTB(protein_coding),U45A(hg19_snoRna),SNORD45A(snoRNA)	A	SM-PC
chr13	27829201	27829252	+	476	476	0	SNORD102(snoRNA),RPL21(protein_coding),U102(hg19_snoRna)	A	SM-PC
chr19	51305621	51305672	-	466	466	0	C19orf48(protein_coding),HBII-180C(hg19_snoRna),SNORD88C(snoRNA)	A	SM-PC
chr9	35657964	35658016	-	367	367	0	FR119392(hg19_F_misc),FR355912(hg19_F_misc),FR380380(hg19_F_misc),FR260307(hg19_F_misc),RMRP(lincRNA),FR089364(hg19_F_misc),FR193707(hg19_F_misc),FR215892(hg19_F_misc)	A	SM-LN
chr1	173833305	173833356	-	367	367	0	U81(hg19_snoRna),GAS5(processed_transcript)	A	SM-LN
chrX	135961381	135961432	-	351	351	0	RBMX(protein_coding),U61(hg19_snoRna),SNORD61(snoRNA)	A	SM-PC
chr11	93466413	93466464	-	276	276	0	TAF1D(protein_coding),SNORD5(snoRNA),mgh28S-2409(hg19_snoRna)	A	SM-PC
chr19	10220437	10220489	+	244	244	0	FR407663(hg19_F_misc),SNORD105B(snoRNA),U105B(hg19_snoRna)	A	SM-ONLY
chr20	2443629	2443681	-	239	239	0	FR407734(hg19_F_misc),SNORD119(hg19_snoRna),SNORD119(snoRNA)	A	SM-ONLY
chr17	16343349	16343400	+	206	206	0	U49A(hg19_snoRna),FAM211A-AS1(processed_transcript)	A	SM-LN
chr11	62622503	62622555	-	203	203	0	U27(hg19_snoRna),SNHG1(processed_transcript)	A	SM-LN
chr3	52726759	52726810	+	203	203	0	HBII-210(hg19_snoRna),SNORD69(snoRNA)	A	SM-ONLY
chr16	46920333	46920384	+	202	202	0	NA	U	Novel
chr15	66795600	66795651	-	201	201	0	RPL4(protein_coding),SNORD18A(snoRNA),U18A(hg19_snoRna)	A	SM-PC
chr20	2637584	2637636	+	194	194	0	U57(hg19_snoRna),FR270731(hg19_F_piRNA),SNORD57(snoRNA),FR004416(hg19_F_piRNA),NOP56(protein_coding)	A	SM-PC
chr11	62620794	62620848	-	179	179	0	U31(hg19_snoRna),SNHG1(processed_transcript)	A	SM-LN
chr1	173833991	173834042	-	177	177	0	GAS5(processed_transcript),U80(hg19_snoRna)	A	SM-LN
chr11	62623052	62623103	-	170	170	0	FR407753(hg19_F_misc),U25(hg19_snoRna),SNHG1(processed_transcript)	A	SM-LN
chr18	47018048	47018099	-	158	158	0	ENST00000418495(hg19_ensGene),ENST00000580387(hg19_ensGene),ENST00000579408(hg19_ensGene),ENST00000580210(hg19_ensGene),RPL17(protein_coding),SNORD58B(snoRNA),U58B(hg19_snoRna),FR064000(hg19_F_piRNA)	A	SM-PC
chrX	68892394	68892447	+	144	144	0	ENST00000606950(hg19_rRna),5S_rRNA(rRNA)	A	SM-ONLY
chr17	33478224	33478275	-	143	121	22	NA	U	Novel
chr18	47017666	47017717	-	122	122	0	RPL17(protein_coding),SNORD58A(snoRNA),U58A(hg19_snoRna),FR132879(hg19_F_piRNA),FR319972(hg19_F_piRNA)	A	SM-PC
chr1	76252756	76252808	+	105	105	0	RABGGTB(protein_coding),U45C(hg19_snoRna),SNORD45C(snoRNA)	A	SM-PC
chr1	173835800	173835851	-	105	105	0	GAS5(processed_transcript),U76(hg19_snoRna)	A	SM-LN
chr1	173833532	173833583	-	82	82	0	GAS5(processed_transcript),U47(hg19_snoRna)	A	SM-LN
chr11	62621153	62621204	-	61	61	0	U30(hg19_snoRna),SNHG1(processed_transcript)	A	SM-LN
chr20	2637269	2637320	+	47	47	0	U56(hg19_snoRna),SNORD56(snoRNA),NOP56(protein_coding)	A	SM-PC
chr1	173834515	173834566	-	45	45	0	U79(hg19_snoRna),GAS5(processed_transcript)	A	SM-LN
chr1	173836025	173836076	-	45	45	0	U75(hg19_snoRna)	A	SM-ONLY
chr17	27049601	27049652	+	36	36	0	mgh18S-121(hg19_snoRna),SNORD4A(snoRNA),FR248000(hg19_F_piRNA)	A	SM-ONLY
chr1	173834772	173834823	-	33	33	0	SNORD78(snoRNA),U78(hg19_snoRna)	A	SM-ONLY
chr17	16342818	16342869	+	26	26	0	U49B(hg19_snoRna),FAM211A-AS1(processed_transcript)	A	SM-LN
chr6	86387325	86387376	-	19	19	0	U50B(hg19_snoRna),SNHG5(processed_transcript)	A	SM-LN
chr11	62622116	62622167	-	19	19	0	U28(hg19_snoRna),SNHG1(processed_transcript)	A	SM-LN
chr15	66795198	66795249	-	16	16	0	RPL4(protein_coding),U16(hg19_snoRna),SNORD16(snoRNA)	A	SM-PC
chr17	27050701	27050767	+	12	12	0	RPL23A(protein_coding),ENST00000578181(hg19_ensGene),Z17B(hg19_snoRna),SNORD4B(snoRNA)	A	SM-PC
chr11	93466712	93466764	-	10	10	0	TAF1D(protein_coding),SNORA18(snoRNA),ACA18(hg19_snoRna)	A	SM-PC
chr17	8022513	8022564	+	7	7	0	chr17.tRNA2-LysTTT(hg19_tRNAs)	A	SM-ONLY
